identifier,path,gcp_file_id,folder_name,author_subject,type,Years,gcp_folder_id,file_name,ocr_writen_on,ocr_writen_by,ocr_main_content,ocr_additional_content,ocr_writen_on_coords,ocr_writen_by_coords,ocr_main_content_coords,ocr_additional_content_coords,paragraphs_detection_successes,ocr_all_text_preprocess,ocr_all_text_no_preprocess,ocr_main_content_all_text_preprocess,ocr_main_content_all_text_no_preprocess,years,gcp_image_link,gcp_folder_link,is_handwritten
IDGNAZIM0002062,"\CD00085 גורי, חיים - גורי, חיים\0216.tif",1Y5l4F3vtFrXXVYCEKTw_6Y5fa2OzrRiB,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0216.tif,י יוים,גור .הח >,אצל פרהר ובצל ההיכצדיריהורריבוה פריכאציוה !,"דבר 20.2.1954 צם'
","992,12 1243,12 992,78 1243,78","992,12 1243,12 992,78 1243,78","277,292 882,292 277,397 882,397","814,666 1259,666 814,735 1259,735",TRUE,"י יוים גור .הח > אצל פרהר ובצל ההיכצדיריה ורריבוה פריכאציוה ! הבר 954ו.20.2,ץב' 5 ","גורי, חיים אצל מרתהה ובצל ההיסטוריה (רטימות פריסציות) אבר,86,2.1954, עמ"" 5 ","יכצדיריה ורריבוה פריכאציוה ! הבר 954ו.20.2,ץב' 5 ","יה (רטימות פריסציות) אבר,86,2.1954, עמ"" 5 ",,https://drive.google.com/file/d/1Y5l4F3vtFrXXVYCEKTw_6Y5fa2OzrRiB,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0002063,"\CD00085 גורי, חיים - גורי, חיים\0200.tif",1So3FTirsNiHomt3GHdP3XWrByDlg8T1X,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0200.tif,"גורי,חיים",,"[כיר,דתום:ר.ג.","גורי,חיים
","943,152 1170,152 943,208 1170,208",,"652,459 980,459 652,515 980,515","943,152 1170,152 943,208 1170,208",TRUE,"גורי,חיים ""אגטי הגלך"" [מיר,ותום:ר.ג. פלכהאי | לכרהב, -12,0.79.107.ר ק ","גורי,חיים ""אבש"" המלך"" [שיר,התום:ה.ג. פלמחאי| למרחב,6.5.1955,עם. 8 ","ך"" [מיר,ותום:ר.ג. פלכהאי | לכרהב, -12,0.79.107.ר ק ","ך"" [שיר,התום:ה.ג. פלמחאי| למרחב,6.5.1955,עם. 8 ",,https://drive.google.com/file/d/1So3FTirsNiHomt3GHdP3XWrByDlg8T1X,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0002064,"\CD00085 גורי, חיים - גורי, חיים\0204.tif",1kghBYjodZ6gxJp2Qdejg5_MWj4BE31ZF,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0204.tif,"גורי, חיים",--7----,האנסים האלה (פה אומרי?)( חתום חגי |,"גורי, חיים
--7----
","869,91 1159,91 869,163 1159,163","869,91 1159,91 869,163 1159,163","291,269 945,269 291,424 945,424","869,91 1159,91 869,163 1159,163",TRUE,"גורי, חיים האנסים האלה (פה אומרי?) ( חתום חגי | לפרחב, 13.7.1960, עס' 2 ","גורי, חיים ‏ האבגטים האלה (מה אומרי?) ( חתום חגי | לטרתב, 15.7.1960, עמ'* 8 "," חתום חגי | לפרחב, 13.7.1960, עס' 2 ",") ( חתום חגי | לטרתב, 15.7.1960, עמ'* 8 ",,https://drive.google.com/file/d/1kghBYjodZ6gxJp2Qdejg5_MWj4BE31ZF,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0002065,"\CD00085 גורי, חיים - גורי, חיים\0213.tif",1temkN7VxOA36MkZPtYj9g_7Xyu6IKxm4,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0213.tif,"גורי, חייש",,"רבר, כפ סיון הט""ם, 13.6,80%), למ"" 2","אעברה נא כארץ

(חתופ תגור)
","962,129 1200,129 962,203 1200,203",,"445,521 1174,521 445,607 1174,607","797,265 1098,265 797,398 1098,398",TRUE,"גורי, חייש אעברה נא כארץ (חתופ תגור) רבר, כפ סיון הט""ם, 13.6,80%), למ"" 2 ","4 גורי, חיים . אעברה נא בארץ (התופ תחגור) דבר, כט סיון תט""מ,'13.6.80), עמ"" 2 ","רבר, כפ סיון הט""ם, 13.6,80%), למ"" 2 ","גור) דבר, כט סיון תט""מ,'13.6.80), עמ"" 2 ",,https://drive.google.com/file/d/1temkN7VxOA36MkZPtYj9g_7Xyu6IKxm4,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0002066,"\CD00085 גורי, חיים - גורי, חיים\0203.tif",1tBUOLTK9i7mSzOXNiw_Lyj8ZAC0qz8lU,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0203.tif,"גורי, ה""ם",,"חוב' 37, יא באלול(54. 9. 9), עמ'","( רשמי""מסכ)
","869,111 1240,111 869,189 1240,189",,"200,539 725,539 200,660 725,660","532,326 842,326 532,398 842,398",TRUE,"גורי, ה""ם האנטים האחרים ( רשמי""מסכ) דרבר, דרבר השבוע, חוב' 37, יא באלול תשיזד (54. 9. 9), עמ' 8 ","יגורי, חפם האנשים האחרים -( רשמי""מספ) דבר, דבר השבוע, חוב' 87, יא באלול תשי""ד (9.9.54), עמ' 8 ","ים ( רשמי""מסכ) דרבר, דרבר השבוע, חוב' 37, יא באלול תשיזד (54. 9. 9), עמ' 8 ","רים -( רשמי""מספ) דבר, דבר השבוע, חוב' 87, יא באלול תשי""ד (9.9.54), עמ' 8 ",,https://drive.google.com/file/d/1tBUOLTK9i7mSzOXNiw_Lyj8ZAC0qz8lU,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0002067,"\CD00085 גורי, חיים - גורי, חיים\0217.tif",1xDCl9NiIJKvj-L4-kHHzo06eqlgw1e6F,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0217.tif,"גורי, חיים",,"דכר,דבר השבוע, כז אלול תשל""ה,(29.9.78),ת"" 5/4","אצל מרתה

די כ
","927,110 1163,110 927,175 1163,175",,"256,512 1216,512 256,580 1216,580","826,244 1015,244 826,358 1015,358",TRUE,"גורי, חיים אל מרתה -- 7 די 3 6129 פיץ ל +צואוש דכר,דבר השבוע, כז אלול תשל""ה,(29.9.78),ת"" 5/4 ","גורי, היים אצל מרתה 2 -- של 293[ 6 פיץ' - דבר,דבר השבוע, כז אלול תשל""ח,(29.9.78),עמ"" 5/4 ","י 3 6129 פיץ ל +צואוש דכר,דבר השבוע, כז אלול תשל""ה,(29.9.78),ת"" 5/4 ","של 293[ 6 פיץ' - דבר,דבר השבוע, כז אלול תשל""ח,(29.9.78),עמ"" 5/4 ",,https://drive.google.com/file/d/1xDCl9NiIJKvj-L4-kHHzo06eqlgw1e6F,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0002068,"\CD00085 גורי, חיים - גורי, חיים\0195.tif",154IddxE3ix0hz1Tx4z-bO8ACs184bOG0,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0195.tif,אני מהפט את הציונוה,מכהב מגברפת,"אני מהפט את הציונוהמכהב מגברפת1רבר, 7,5,1954,עם* 5",,"186,0 1253,0 186,874 1253,874","186,0 1253,0 186,874 1253,874","186,0 1253,0 186,874 1253,874",,TRUE,"אני מהפט את הציונוה מכהב מגברפת 1 רבר, 7,5,1954,עם* 5 ","אנ דבר, 70.5.1954 קמ"" 5 מחפט את הציונות מכתב מצרפת , ","ת 1 רבר, 7,5,1954,עם* 5 ","ת הציונות מכתב מצרפת , ",,https://drive.google.com/file/d/154IddxE3ix0hz1Tx4z-bO8ACs184bOG0,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0002069,"\CD00085 גורי, חיים - גורי, חיים\0225.tif",1Cxdip5JdSqm5ftCfdn90rPlnVFJueH3A,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0225.tif,,,ארבצץה במונית אחת בלבד(פה אופרים?) ] חתום הגי ],"לפרחב, 20,1.1956, לפ' 3
",,,"196,335 906,335 196,498 906,498","452,643 1093,643 452,855 1093,855",FALSE,"גורי, חיים ארבצץה במונית אחת בלבד (פה אופרים?) ] חתום הגי ] לפרחב, 20,1.1956, לפ' 3 ","גורי, חיים ארבעה במונית אחת בלבד (מה אומרים?) ] חתום חגי | למרחב, 20.1.,1956, עס'* 5 ",,,,https://drive.google.com/file/d/1Cxdip5JdSqm5ftCfdn90rPlnVFJueH3A,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0002070,"\CD00085 גורי, חיים - גורי, חיים\0206.tif",1_7nVMxy-N89WzkNlLja5fAOy0WN9dw_i,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0206.tif,גורי חיים,2,האנצשים וביהם,"ו3.2.0, ע' 2
","936,45 1168,45 936,107 1168,107","936,45 1168,45 936,107 1168,107","594,345 862,345 594,396 862,396","713,664 977,664 713,726 977,726",TRUE,"למרחב, ךַ : ר האנשים וביהם [חתום: פגור] ו3.2.0, ע' 2 ","גורי, חיים האנשים וביתם |חתום: חגור] למרחב, 3.2.61, ע"" 2 ","יהם [חתום: פגור] ו3.2.0, ע' 2 "," |חתום: חגור] למרחב, 3.2.61, ע"" 2 ",,https://drive.google.com/file/d/1_7nVMxy-N89WzkNlLja5fAOy0WN9dw_i,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0002071,"\CD00085 גורי, חיים - גורי, חיים\0201.tif",1M2zmC7fZBibJzZmiQc3rfb1Pk4vJWGBZ,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0201.tif,"גדרי,חייס",,"גדרי,חייס","..

","818,18 1079,18 818,93 1079,93",,"818,18 1079,18 818,93 1079,93","310,527 912,527 310,740 912,740",TRUE,"גדררי,חיים ","גהרי,חייסם אנטי השבפ""ץ דבר,כט אלול תשמח11.9,1988 צמ21 ",,"טי השבפ""ץ דבר,כט אלול תשמח11.9,1988 צמ21 ",,https://drive.google.com/file/d/1M2zmC7fZBibJzZmiQc3rfb1Pk4vJWGBZ,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0002072,"\CD00085 גורי, חיים - גורי, חיים\0194.tif",1lHzcffvWEPUVHIQFFewS7QBkiiEc66GE,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0194.tif,גורי חיים,----*--= הש,"נטיו ‎ -.‏ טבוה ובניםמה אומרים 7, התום:ו","אני ועכשיו .-

[ מדור: פה אומו
","869,73 1196,73 869,148 1196,148","869,73 1196,73 869,148 1196,148","240,257 731,257 240,395 731,395","546,250 905,250 546,390 905,390",TRUE,"גורי. חיים אני ועכשיו ‎ -.‏ מבוה ובנים [מדור: מה אומרים ?, חתום:ח- גי) דבר. 1.12.72,עמ' 2 ","גור"" חיים אנ"" ועכשיו .- אבות ובנלם [מדור: מה אומרים ?, התום:ח- גי] דבר. 1.12.72,עמ* 2 ","מרים ?, חתום:ח- גי) דבר. 1.12.72,עמ' 2 "," ?, התום:ח- גי] דבר. 1.12.72,עמ* 2 ",,https://drive.google.com/file/d/1lHzcffvWEPUVHIQFFewS7QBkiiEc66GE,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0002073,"\CD00085 גורי, חיים - גורי, חיים\0205.tif",11cqtX6BJw38VzZ-rl9Xxpj3Qz3f_QGbI,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0205.tif,גורי חיים,=-ה-.הה--ה---.,גורי חיים=-ה-.הה--ה---.,"אומריפם
","913,111 1187,111 913,170 1187,170","913,111 1187,111 913,170 1187,170","913,111 1187,111 913,170 1187,170","128,263 296,263 128,311 296,311",TRUE,"גורי, חיים האנטים, האס, ההדשות | [מדור. מה אומרים ?, התום: הגי] למוחב, 18.7.1969, עמ' 2 ","גורי, חיים האנטים, האש, החדשות | [מדור: מה אומרים ?, חתום: חגי] למרחב, 18.7.1969, עמ* 2 ","| [מדור. מה אומרים ?, התום: הגי] למוחב, 18.7.1969, עמ' 2 ","| [מדור: מה אומרים ?, חתום: חגי] למרחב, 18.7.1969, עמ* 2 ",,https://drive.google.com/file/d/11cqtX6BJw38VzZ-rl9Xxpj3Qz3f_QGbI,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0002074,"\CD00085 גורי, חיים - גורי, חיים\0197.tif",1FAU_Wp2TZvJpm-jOolxDd22Eghow3k92,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0197.tif,גורי.תיים,אני רוצה לדעח,"גורי.תייםאני רוצה לדעחההום:חגורדבר, ח כפלו הטשמד, ‎ 14,11!,1983‏ עמ2",,"297,0 1262,0 297,766 1262,766","297,0 1262,0 297,766 1262,766","297,0 1262,0 297,766 1262,766",,TRUE,"גורי.תיים אני רוצה לדעח ההום:חגור דבר, ח כפלו הטשמד, ‎ 14,11!,1983‏ עמ2 ","גורי.חיים אגי רוצה לדעת חתום:חגור דבר, ח כסלו תשמד, ‎ 14,11.1985‏ עמ2 ","ח ההום:חגור דבר, ח כפלו הטשמד, ‎ 14,11!,1983‏ עמ2 ","ת חתום:חגור דבר, ח כסלו תשמד, ‎ 14,11.1985‏ עמ2 ",,https://drive.google.com/file/d/1FAU_Wp2TZvJpm-jOolxDd22Eghow3k92,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0002075,"\CD00085 גורי, חיים - גורי, חיים\0199.tif",1JyUDCTSvCrEboNQ2Cl6qVGzuVcc3Xgvi,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0199.tif,"למרחב, !18.1.6, ע' 2",,"אגית רמתיס ‏ ( פיר, מה אומרים"",חתום: הגו ]","למרחב, !18.1.6, ע' 2
","672,634 1113,634 672,705 1113,705",,"226,326 868,326 226,470 868,470","672,634 1113,634 672,705 1113,705",TRUE,"למרחב, אנית רפמתיס חתום: הגו ] 01, ע 2 ( פיר, מה אוסרים"", ","גורי, חיים אנית המתים ( שיר, מה אומרים?, חתום: הג ] למרחב, 18.1.61, ע"" 2 ","פיר, מה אוסרים"", ","חתום: הג ] למרחב, 18.1.61, ע"" 2 ",,https://drive.google.com/file/d/1JyUDCTSvCrEboNQ2Cl6qVGzuVcc3Xgvi,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0002076,"\CD00085 גורי, חיים - גורי, חיים\0190.tif",1Js4EFM2G7nG1__sQf7R4fq-5ylxBIDzK,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0190.tif,,,,,,,,,FALSE,,"גורי.חיים אנחנו על המפה דבר, טו טבת תשמז6.1,1987וַעמ 18 ",,,,https://drive.google.com/file/d/1Js4EFM2G7nG1__sQf7R4fq-5ylxBIDzK,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0002077,"\CD00085 גורי, חיים - גורי, חיים\0209.tif",1ORLkQuvbQgDyiy2K-TVY4RGBDoH6sdgZ,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0209.tif,,,"א 53 ר, סן 0","?| , תוי כ
",,,"397,260 907,260 397,386 907,386","446,7 1264,7 446,195 1264,195",FALSE,"?| , תוי כ א 53 |(ר! ₪ 0 6 ,3 %ס.ות בשי חא / /, / 7 7-ו ","%[מ, תס ו א 2-9 8 %סות די \ חן \ לאו | מ 5 9 [2 4 ",,,,https://drive.google.com/file/d/1ORLkQuvbQgDyiy2K-TVY4RGBDoH6sdgZ,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1
IDGNAZIM0002078,"\CD00085 גורי, חיים - גורי, חיים\0211.tif",1lNGgYSnSIgyK4Sov9uR1m7lbbrFMEqc7,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0211.tif,"גורי, חייס",1,"לסרחב, 28.10.1957, עם"" 2","ם?)
.
ר
אום
ה
(מה
","967,88 1222,88 967,153 1222,153","967,88 1222,88 967,153 1222,153","416,623 930,623 416,692 930,692","583,328 847,328 583,394 847,394",TRUE,"גורד חייס -- האסיר | (מה אומרים?) חתום הגי לסרחב, 28.10.1957, עם"" 2 ","גורי, חיים ₪ האסיר | (מה אומר*ם?) חתום חגי למרחב, 28.10.1957, עמ"" 2 ",") חתום הגי לסרחב, 28.10.1957, עם"" 2 ",") חתום חגי למרחב, 28.10.1957, עמ"" 2 ",,https://drive.google.com/file/d/1lNGgYSnSIgyK4Sov9uR1m7lbbrFMEqc7,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0002079,"\CD00085 גורי, חיים - גורי, חיים\0189.tif",10kzcuF-0dMnwv0jsCGFNWWr06BIGSr3j,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0189.tif,גורי חהיים,,"אנהנו, הברי ההסתדרות(חתום: הג )","למרחב, 5.2.00, ע* 2
","947,48 1181,48 947,110 1181,110",,"439,327 892,327 439,441 892,441","559,661 1055,661 559,838 1055,838",TRUE,"גורי חהיים אנהנו, הברי ההסתדרות ‏ פר אומרים"", (חתום: הג ) למרחב, 9.2.00, ע"" 2 ","גורי, היים אנחנו, חברי ההסתדרות מה אומרים?, (חתום: חגי 6 למרחב, 5.2.60, ע"" 2 ","ת ‏ פר אומרים"", (חתום: הג ) למרחב, 9.2.00, ע"" 2 ","ת מה אומרים?, (חתום: חגי 6 למרחב, 5.2.60, ע"" 2 ",,https://drive.google.com/file/d/10kzcuF-0dMnwv0jsCGFNWWr06BIGSr3j,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0002080,"\CD00085 גורי, חיים - גורי, חיים\0192.tif",1ncn8jpVlVeKh7LJQPevceWA-ZeAnKgvI,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0192.tif,"גורי, חייס",+,"""אני גר כעת בספר יסן.. ""1 - ] ""יט לי קרובי משפחה..,')-| ""וזה אחד המקרים הפחות ידועים...ץ)-[ ""אני חושב שזו הרוחהמקסיכה מפרחקיה..."" |","על המשמר, רף לספרות, א תמוז תשסל""ד,(21.6.74), עם 6
","952,94 1192,94 952,159 1192,159","952,94 1192,94 952,159 1192,159","60,196 1228,196 60,452 1228,452","221,644 1247,644 221,830 1247,830",TRUE,"גורי, חיים ""אני גר כעת בספר ישן..' - ] ""יש לי קרובי משפחה..,')- | ""וזה אחד המקרי*ם הפחות ו ""אני חושב שזו הרוח המקסיבה מסרחקיה.,,"" (ארבקה שירים) על המשמר, רף לספרות, א תמוז תשסל""ד,(21.6.74), עם 6 ",". בורי, חיים ,ו | ""אצי גר כעת בספר ישן. . 1 - ] ""יש לי קרובי משפחה...'4-. | ""וזה אחד המקרלם הפחות ידועים...= / ""אני תושב שזו הרוח המקשיבה ממרחקיה..."" (ארבעה שירים) על המשמר, דף לספרות, א תמוז תשל""ד,(21.6.74), עם 6 ","- | ""וזה אחד המקרי*ם הפחות ו ""אני חושב שזו הרוח המקסיבה מסרחקיה.,,"" (ארבקה שירים) על המשמר, רף לספרות, א תמוז תשסל""ד,(21.6.74), עם 6 ","שפחה...'4-. | ""וזה אחד המקרלם הפחות ידועים...= / ""אני תושב שזו הרוח המקשיבה ממרחקיה..."" (ארבעה שירים) על המשמר, דף לספרות, א תמוז תשל""ד,(21.6.74), עם 6 ",,https://drive.google.com/file/d/1ncn8jpVlVeKh7LJQPevceWA-ZeAnKgvI,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0002081,"\CD00085 גורי, חיים - גורי, חיים\0222.tif",1ZRdkfNjUR5lW0P1uyJqhuyOkIjUJMwRu,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0222.tif,"גורי, חיים",1,"לפרחב, 1957ו.18.11, עם' 2","ם?)
מרי
או
(מה
","995,101 1272,101 995,165 1272,165","995,101 1272,101 995,165 1272,165","422,552 944,552 422,618 944,618","508,298 775,298 508,362 775,362",TRUE,"י גורי, חיים אקרופולים | (מה אומרים?) חתום 7 לפרחב, 1957ו.18.11, עם' 2 ","גורי, חיים אקרופוליס (מה אומרים?) חתום 2 למרחב, 7, עמ"" 2 ","מה אומרים?) חתום 7 לפרחב, 1957ו.18.11, עם' 2 ","ומרים?) חתום 2 למרחב, 7, עמ"" 2 ",,https://drive.google.com/file/d/1ZRdkfNjUR5lW0P1uyJqhuyOkIjUJMwRu,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0002082,"\CD00085 גורי, חיים - גורי, חיים\0215.tif",1sOBknmGFS3noQd4FeHgrWD9Kym86Bk8U,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0215.tif,יים,"גורי,חיים","לקרהג, 6 1.1057כיולכ.","יים
גורי,חיים
","955,141 1179,141 955,198 1179,198","955,141 1179,141 955,198 1179,198","728,667 1263,667 728,723 1263,723","955,141 1179,141 955,198 1179,198",TRUE,"5 י חי י גורי,ה אפר ם דגי ב, ה וכרי | כו ","גורד חרים אפך [ מה אומרים,ות ום:חגי| למרחב, 29.4.1957,עם. 8 ","ב, ה וכרי | כו ","ות ום:חגי| למרחב, 29.4.1957,עם. 8 ",,https://drive.google.com/file/d/1sOBknmGFS3noQd4FeHgrWD9Kym86Bk8U,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0002083,"\CD00085 גורי, חיים - גורי, חיים\0223.tif",1iCawI_JqKo5_2VMItRqNs_0274kMuNre,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0223.tif,כוריבחייב,,כוריבחייב,"הווה ן ₪
","987,28 1225,28 987,83 1225,83",,"987,28 1225,28 987,83 1225,83","1083,516 1219,516 1083,561 1219,561",TRUE,"ייב ריית גורי,. ב הדודר - הק - - - רו דהת או - / ","גורי,חיים ארבטה אורות בקצה המנהרה במחנה נחל,גל 2153.נוב.דצמ.1984, עמ22/18 ",הדודר - הק - - - רו דהת או - / ,"רות בקצה המנהרה במחנה נחל,גל 2153.נוב.דצמ.1984, עמ22/18 ",,https://drive.google.com/file/d/1iCawI_JqKo5_2VMItRqNs_0274kMuNre,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0002084,"\CD00085 גורי, חיים - גורי, חיים\0218.tif",1z5FnyMxZB-8-3buarDfGguu4HsuwHH5E,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0218.tif,"גורי, חיים",,""" 3סן הוב'1, כרך ס""ב, אביב תס""כ, יס /מרץ 0ר-מבפנים, ,","""מר נעסה פכפיו בלעדיו?
","928,18 1197,18 928,90 1197,90",,"71,590 1218,590 71,817 1218,817","433,348 968,348 433,419 968,419",TRUE,"גורי, חיים אקדמות לסספד ""מה נעסר פכפיו בלעדיו? אני פוחדת"" [ ליגאל אלון] מבפנים, הוב'1, כרך מ""ב, אביב תהס""כ, ניסז/מרץ 198₪0, 0 פמ'11 ","- אקדמות לטמספד ""מה בעשה פבסיו בלעדיו? אגי פוחדת"" [ ליגאל אלון] מבפנים, חודב'1, ברך מ""ב, אביב תש""מ, בלסך/מרץ 1980, עמ*11 ","פכפיו בלעדיו? אני פוחדת"" [ ליגאל אלון] מבפנים, הוב'1, כרך מ""ב, אביב תהס""כ, ניסז/מרץ 198₪0, 0 פמ'11 ","עדיו? אגי פוחדת"" [ ליגאל אלון] מבפנים, חודב'1, ברך מ""ב, אביב תש""מ, בלסך/מרץ 1980, עמ*11 ",,https://drive.google.com/file/d/1z5FnyMxZB-8-3buarDfGguu4HsuwHH5E,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0002085,"\CD00085 גורי, חיים - גורי, חיים\0214.tif",1hpr9wtgOH4tPlDNwHaz1-oW6-6fZA9yG,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0214.tif,"גורי, חיים","""אפולו 8"" [מדור: מה אומרים ?","גורי, חיים""אפולו 8"" [מדור: מה אומרים ?ההום: חגיולמרחב,8, עמ' 4",,"188,4 1257,4 188,851 1257,851","188,4 1257,4 188,851 1257,851","188,4 1257,4 188,851 1257,851",,TRUE,"גורי, חיים ""אפולו 8"" [מדור: מה אומרים ? ההום: חגיו למרחב, 8, עמ' 4 ","גור"", חיים ""אפולו 8"" [מדור: מה אומרים ?, חתום: חגי] למרהב, 21.12.1968, עמ'* 2 ","? ההום: חגיו למרחב, 8, עמ' 4 ","?, חתום: חגי] למרהב, 21.12.1968, עמ'* 2 ",,https://drive.google.com/file/d/1hpr9wtgOH4tPlDNwHaz1-oW6-6fZA9yG,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
